idade,renda_anual,tipo_moradia,tempo_emprego,finalidade_emprestimo,classe_emprestimo,valor_emprestimo,taxa_juros,inadimplente,percentual_renda,historico_inadimplencia,tempo_historico_credito
21,11000,Financiada,3.0,Empreendedorismo,E,4575,17.74,1,0.42,Sim,3
23,11000,Própria,0.0,Pessoal,A,1400,9.32,0,0.13,Não,3
24,65000,Alugada,6.0,Reforma residencial,B,32500,9.99,1,0.5,Não,3
21,11389,Outra,5.0,Educação,C,4000,12.84,1,0.35,Sim,2
21,11520,Própria,5.0,Saúde,B,2000,11.12,1,0.17,Não,3
25,120000,Alugada,2.0,Empreendedorismo,A,32000,6.62,0,0.27,Não,2
26,95000,Alugada,7.0,Reforma residencial,C,31050,14.17,1,0.33,Sim,3
25,306000,Alugada,2.0,Consolidação de dívidas,C,24250,13.85,0,0.08,Não,3
26,300000,Financiada,10.0,Saúde,C,7800,13.49,0,0.03,Não,4
21,12000,Própria,5.0,Educação,A,2500,7.51,1,0.21,Não,4
22,48000,Alugada,1.0,Educação,E,30000,18.39,1,0.63,Não,2
24,64000,Alugada,8.0,Consolidação de dívidas,D,30000,14.54,1,0.47,Sim,3
25,75000,Alugada,4.0,Reforma residencial,D,30000,16.89,1,0.4,Sim,4
23,71500,Alugada,3.0,Consolidação de dívidas,D,30000,,1,0.42,Não,4
26,62050,Alugada,6.0,Saúde,E,30000,17.99,1,0.41,Não,2
24,12000,Própria,4.0,Empreendedorismo,B,2500,12.69,1,0.21,Não,3
26,300000,Financiada,10.0,Empreendedorismo,A,20000,7.88,0,0.07,Não,4
23,300000,Própria,1.0,Educação,F,24250,19.41,0,0.08,Sim,2
26,300000,Própria,9.0,Reforma residencial,B,10000,10.38,0,0.03,Não,4
26,300000,Financiada,0.0,Educação,D,25000,15.33,0,0.08,Não,3
25,300000,Financiada,9.0,Reforma residencial,E,18000,16.45,0,0.06,Não,3
26,80690,Alugada,8.0,Pessoal,A,30000,7.49,1,0.37,Não,3
22,66300,Alugada,4.0,Saúde,B,30000,12.69,1,0.38,Não,3
26,89028,Alugada,0.0,Consolidação de dívidas,A,30000,6.62,1,0.34,Não,3
24,78000,Alugada,4.0,Consolidação de dívidas,D,30000,,1,0.38,Sim,4
23,78000,Alugada,7.0,Consolidação de dívidas,F,30000,18.62,1,0.38,Sim,3
23,92004,Alugada,6.0,Pessoal,C,30000,15.23,1,0.33,Sim,3
23,97000,Alugada,7.0,Empreendedorismo,B,30000,10.65,1,0.31,Não,2
25,120000,Alugada,9.0,Educação,A,30000,7.9,0,0.25,Não,4
26,280000,Alugada,4.0,Pessoal,C,10000,15.96,0,0.04,Sim,3
26,277104,Alugada,0.0,Empreendedorismo,B,20000,11.48,0,0.07,Não,3
23,277000,Própria,3.0,Pessoal,A,35000,,0,0.13,Não,4
25,128000,Alugada,9.0,Pessoal,A,30000,7.29,0,0.23,Não,4
24,12000,Própria,2.0,Empreendedorismo,E,1750,,0,0.15,Sim,3
21,131000,Alugada,0.0,Empreendedorismo,A,30000,5.99,0,0.23,Não,4
22,275000,Própria,6.0,Empreendedorismo,B,12000,11.58,0,0.04,Não,2
26,263000,Financiada,0.0,Educação,B,10000,,1,0.04,Não,4
25,221850,Financiada,9.0,Saúde,D,25000,15.7,1,0.1,Não,2
22,70000,Alugada,6.0,Educação,D,29100,15.99,1,0.42,Não,3
22,12000,Financiada,7.0,Educação,D,1500,14.84,0,0.13,Sim,3
26,260000,Própria,10.0,Reforma residencial,B,28000,10.99,0,0.11,Não,3
25,259000,Financiada,9.0,Reforma residencial,D,20000,14.42,0,0.08,Sim,2
24,255000,Financiada,9.0,Educação,A,9600,6.99,0,0.04,Não,2
25,250000,Alugada,2.0,Saúde,C,25000,13.49,0,0.1,Não,4
25,12000,Própria,0.0,Saúde,C,3000,,1,0.25,Não,3
22,56950,Alugada,6.0,Saúde,A,28000,,1,0.49,Não,2
21,12000,Própria,6.0,Educação,C,3000,13.61,1,0.25,Sim,3
23,65000,Alugada,2.0,Educação,A,28000,7.9,1,0.43,Não,2
26,85000,Alugada,2.0,Empreendedorismo,A,28000,7.49,1,0.33,Não,3
26,12000,Própria,2.0,Educação,A,6100,7.51,1,0.51,Não,3
22,88000,Alugada,6.0,Empreendedorismo,B,28000,9.91,1,0.32,Não,3
21,12000,Própria,0.0,Pessoal,C,4200,13.48,1,0.35,Sim,4
22,12000,Própria,6.0,Consolidação de dívidas,A,4750,7.14,1,0.4,Não,2
24,83004,Alugada,0.0,Empreendedorismo,D,28000,15.99,1,0.34,Sim,4
24,250000,Alugada,2.0,Educação,C,18000,12.98,0,0.07,Sim,3
144,250000,Alugada,4.0,Empreendedorismo,C,4800,13.57,0,0.02,Não,3
25,100000,Alugada,5.0,Consolidação de dívidas,B,28000,12.69,0,0.28,Não,3
26,110000,Alugada,10.0,Educação,A,28000,8.9,0,0.25,Não,2
26,12000,Própria,0.0,Consolidação de dívidas,A,2700,,1,0.23,Não,4
22,108000,Alugada,6.0,Educação,B,28000,,1,0.26,Não,4
23,151200,Alugada,7.0,Consolidação de dívidas,B,28000,11.11,0,0.19,Não,2
24,69000,Alugada,2.0,Reforma residencial,A,27600,,1,0.4,Não,2
21,12000,Financiada,5.0,Consolidação de dívidas,E,3250,15.68,1,0.27,Sim,3
22,70000,Alugada,4.0,Educação,C,27500,13.06,1,0.39,Sim,3
22,240000,Própria,6.0,Pessoal,B,25000,,0,0.1,Não,2
26,73200,Alugada,5.0,Empreendedorismo,D,27050,15.62,1,0.37,Sim,2
24,83000,Alugada,5.0,Pessoal,C,27000,13.49,1,0.33,Sim,2
24,73399,Alugada,0.0,Empreendedorismo,D,27000,,1,0.37,Não,3
23,62500,Alugada,7.0,Saúde,B,26000,11.71,1,0.42,Não,2
23,120000,Alugada,1.0,Educação,B,25600,12.69,0,0.21,Não,3
24,12360,Própria,2.0,Saúde,C,1600,13.57,0,0.13,Não,3
22,60000,Alugada,0.0,Empreendedorismo,B,25475,10.99,1,0.42,Não,3
25,234000,Financiada,3.0,Saúde,C,20000,14.27,0,0.09,Sim,4
24,234000,Própria,8.0,Reforma residencial,B,20000,8.88,0,0.09,Não,4
26,234000,Financiada,10.0,Reforma residencial,B,21600,12.18,0,0.09,Não,3
25,221004,Financiada,6.0,Consolidação de dívidas,D,11900,14.42,1,0.05,Sim,3
26,232500,Financiada,0.0,Saúde,C,25000,14.17,0,0.11,Sim,2
25,230000,Financiada,5.0,Saúde,C,35000,13.99,0,0.15,Não,4
23,83000,Alugada,7.0,Educação,B,25300,10.99,1,0.3,Não,3
22,12600,Financiada,,Pessoal,A,2000,5.42,1,0.16,Não,4
25,12600,Própria,3.0,Pessoal,C,1750,13.61,0,0.14,Não,3
21,42500,Alugada,3.0,Educação,C,25000,12.73,1,0.59,Sim,3
24,41000,Alugada,2.0,Reforma residencial,D,25000,,1,0.61,Não,3
25,12816,Própria,0.0,Consolidação de dívidas,C,3000,12.87,1,0.23,Sim,4
24,12960,Financiada,1.0,Reforma residencial,B,3650,9.91,1,0.28,Não,3
26,226000,Financiada,4.0,Reforma residencial,B,20000,11.49,0,0.09,Não,4
25,225000,Financiada,0.0,Reforma residencial,E,30000,19.91,0,0.13,Sim,2
26,213000,Financiada,6.0,Educação,B,35000,10.65,1,0.16,Não,2
24,225000,Alugada,0.0,Saúde,B,6000,,0,0.03,Não,4
24,12960,Financiada,0.0,Consolidação de dívidas,B,4500,11.83,1,0.35,Não,4
23,12996,Própria,0.0,Consolidação de dívidas,C,2400,13.49,1,0.18,Sim,2
22,42000,Alugada,6.0,Saúde,D,25000,14.59,1,0.6,Sim,2
26,48000,Alugada,2.0,Educação,B,25000,9.64,1,0.52,Não,4
25,12996,Própria,1.0,Saúde,D,3600,14.59,1,0.28,Não,3
22,12996,Própria,1.0,Educação,B,4750,,1,0.37,Não,3
25,42360,Alugada,1.0,Educação,E,25000,16.35,1,0.59,Sim,3
21,49000,Alugada,4.0,Educação,B,25000,10.99,1,0.51,Não,2
25,225000,Financiada,0.0,Empreendedorismo,F,25000,18.67,0,0.11,Não,2
26,225000,Alugada,1.0,Educação,A,3000,9.32,0,0.01,Não,4
23,225000,Alugada,8.0,Consolidação de dívidas,A,7500,8.63,0,0.03,Não,2
26,225000,Financiada,2.0,Empreendedorismo,B,25000,10.08,0,0.11,Não,2
22,49464,Alugada,5.0,Pessoal,B,25000,11.83,1,0.51,Não,3
23,50000,Alugada,1.0,Consolidação de dívidas,A,25000,7.9,1,0.5,Não,3
25,50000,Alugada,4.0,Reforma residencial,A,25000,5.99,1,0.5,Não,2
24,44000,Alugada,2.0,Consolidação de dívidas,D,25000,15.33,1,0.57,Não,2
23,50000,Alugada,1.0,Empreendedorismo,B,25000,11.83,1,0.5,Não,4
22,50004,Alugada,0.0,Empreendedorismo,B,25000,10.36,1,0.5,Não,2
22,50004,Alugada,3.0,Empreendedorismo,C,25000,12.23,1,0.5,Não,3
22,52000,Alugada,2.0,Educação,B,25000,11.11,1,0.48,Não,4
23,13200,Própria,3.0,Consolidação de dívidas,A,4950,7.9,1,0.38,Não,4
24,220000,Financiada,1.0,Educação,B,25000,11.58,0,0.11,Não,2
23,216000,Financiada,5.0,Consolidação de dívidas,A,21000,8.9,0,0.1,Não,3
25,216000,Financiada,2.0,Educação,D,25000,16.07,0,0.12,Não,3
26,216000,Financiada,10.0,Educação,C,20000,14.22,0,0.09,Sim,2
23,215000,Financiada,7.0,Saúde,C,35000,14.79,0,0.16,Sim,3
26,215000,Financiada,11.0,Educação,A,12000,7.88,0,0.06,Não,2
23,52000,Alugada,1.0,Pessoal,C,25000,13.22,1,0.48,Não,2
26,46000,Alugada,2.0,Consolidação de dívidas,D,25000,11.86,1,0.54,Não,4
22,53000,Alugada,5.0,Educação,C,25000,13.43,1,0.47,Sim,4
26,47000,Alugada,0.0,Reforma residencial,D,25000,15.28,1,0.53,Sim,2
23,47000,Alugada,1.0,Empreendedorismo,E,25000,17.93,1,0.53,Não,2
23,13200,Financiada,2.0,Educação,B,1400,9.25,0,0.11,Não,4
21,13200,Própria,0.0,Empreendedorismo,C,4500,12.98,1,0.34,Não,4
22,210000,Financiada,6.0,Empreendedorismo,B,16000,10.62,0,0.08,Não,4
26,210000,Própria,10.0,Pessoal,B,22000,11.83,0,0.1,Não,4
26,48000,Alugada,5.0,Empreendedorismo,F,25000,18.43,1,0.52,Não,2
22,54996,Alugada,6.0,Educação,B,25000,,1,0.45,Não,4
24,55000,Alugada,4.0,Reforma residencial,D,25000,,1,0.45,Sim,4
23,55000,Alugada,4.0,Educação,B,25000,11.36,1,0.45,Não,3
23,55000,Alugada,4.0,Educação,D,25000,15.65,1,0.45,Sim,3
24,55164,Alugada,8.0,Pessoal,C,25000,13.22,1,0.45,Sim,4
26,56000,Alugada,4.0,Consolidação de dívidas,C,25000,12.87,1,0.45,Não,2
24,203500,Própria,8.0,Saúde,C,20000,13.04,0,0.1,Não,3
23,190000,Financiada,5.0,Educação,F,22000,17.58,1,0.12,Sim,3
23,13920,Própria,2.0,Pessoal,E,7750,17.04,1,0.56,Não,4
24,60000,Alugada,0.0,Pessoal,B,25000,10.99,1,0.42,Não,3
24,60000,Alugada,2.0,Pessoal,B,25000,11.11,1,0.42,Não,3
26,54000,Alugada,7.0,Consolidação de dívidas,D,25000,14.83,1,0.46,Sim,2
23,14000,Própria,2.0,Consolidação de dívidas,D,4000,,1,0.29,Não,3
24,200000,Alugada,8.0,Saúde,B,12000,12.69,0,0.06,Não,2
24,200000,Financiada,8.0,Reforma residencial,C,12000,13.49,0,0.06,Não,2
21,200000,Financiada,5.0,Educação,C,16000,14.65,0,0.08,Não,4
25,54000,Alugada,3.0,Reforma residencial,E,25000,16.82,1,0.46,Não,4
23,60000,Alugada,3.0,Pessoal,C,25000,12.73,1,0.42,Não,3
23,60000,Alugada,7.0,Pessoal,B,25000,10.25,1,0.42,Não,4
21,60000,Alugada,6.0,Educação,B,25000,10.99,1,0.42,Não,4
25,61959,Alugada,9.0,Saúde,C,25000,12.73,1,0.4,Não,2
22,56400,Alugada,2.0,Reforma residencial,D,25000,14.96,1,0.44,Sim,3
23,200000,Financiada,7.0,Educação,A,28000,,0,0.14,Não,2
21,200000,Financiada,2.0,Consolidação de dívidas,C,25000,13.99,0,0.13,Não,2
24,200000,Financiada,3.0,Empreendedorismo,A,24000,7.49,0,0.12,Não,4
26,200000,Financiada,4.0,Educação,C,15000,14.79,0,0.07,Não,3
25,200000,Financiada,2.0,Consolidação de dívidas,B,15500,11.99,0,0.08,Não,2
24,200000,Alugada,8.0,Educação,A,10000,8.49,0,0.05,Não,4
24,66000,Alugada,3.0,Educação,B,25000,9.91,1,0.38,Não,2
22,66000,Alugada,6.0,Educação,C,25000,13.06,1,0.38,Sim,3
22,200000,Financiada,6.0,Consolidação de dívidas,A,9000,6.17,0,0.04,Não,4
144,200000,Financiada,4.0,Educação,B,6000,11.86,0,0.03,Não,2
25,200000,Alugada,5.0,Educação,D,18000,16.32,0,0.09,Não,3
25,200000,Financiada,2.0,Empreendedorismo,B,12000,10.38,0,0.06,Não,2
25,200000,Financiada,9.0,Pessoal,C,23050,14.35,0,0.12,Não,3
24,200000,Financiada,8.0,Consolidação de dívidas,B,20000,,0,0.1,Não,3
24,60000,Alugada,2.0,Consolidação de dívidas,E,25000,,1,0.42,Sim,2
21,14400,Própria,0.0,Reforma residencial,B,3000,,1,0.21,Não,4
26,66996,Alugada,10.0,Pessoal,D,25000,15.21,1,0.37,Sim,2
23,67000,Alugada,3.0,Educação,A,25000,7.9,1,0.37,Não,4
24,67000,Alugada,2.0,Empreendedorismo,B,25000,10.99,1,0.37,Não,3
24,68000,Alugada,5.0,Pessoal,D,25000,14.09,1,0.37,Sim,3
25,69000,Alugada,9.0,Pessoal,D,25000,17.49,1,0.36,Não,2
25,200000,Financiada,0.0,Educação,B,12000,11.48,0,0.06,Não,3
26,188000,Financiada,10.0,Empreendedorismo,E,20000,17.74,1,0.11,Não,2
26,200000,Financiada,4.0,Pessoal,C,3000,13.92,0,0.01,Não,3
25,69996,Alugada,9.0,Educação,D,25000,15.21,1,0.36,Não,3
22,14400,Própria,2.0,Saúde,B,4000,10.99,1,0.28,Não,3
24,70000,Alugada,3.0,Educação,B,25000,11.86,1,0.36,Não,4
24,14400,Própria,5.0,Pessoal,A,6000,7.49,1,0.42,Não,3
24,56100,Alugada,7.0,Saúde,D,25000,16.49,1,0.38,Não,4
25,66000,Alugada,9.0,Empreendedorismo,D,25000,15.33,1,0.38,Sim,2
26,66000,Alugada,3.0,Reforma residencial,B,25000,11.58,1,0.38,Não,4
25,14400,Própria,7.0,Educação,A,5375,5.79,1,0.37,Não,2
25,72612,Alugada,9.0,Saúde,C,25000,13.11,1,0.34,Não,2
23,74000,Alugada,3.0,Saúde,B,25000,10.36,1,0.34,Não,3
25,75000,Alugada,9.0,Consolidação de dívidas,B,25000,10.36,1,0.33,Não,2
24,192000,Alugada,0.0,Saúde,C,22000,,0,0.11,Sim,2
21,192000,Financiada,123.0,Empreendedorismo,A,20000,6.54,0,0.1,Não,4
25,191000,Financiada,1.0,Saúde,B,10000,12.53,0,0.05,Não,4
26,190300,Financiada,5.0,Pessoal,A,15000,,0,0.08,Não,3
22,190000,Financiada,3.0,Empreendedorismo,C,10000,,0,0.05,Não,3
24,75000,Alugada,4.0,Educação,B,25000,10.25,1,0.33,Não,4
22,71000,Alugada,1.0,Educação,D,25000,15.95,1,0.35,Sim,4
26,190000,Financiada,3.0,Empreendedorismo,B,20000,12.18,0,0.11,Não,4
23,189996,Própria,0.0,Pessoal,B,24000,11.83,0,0.13,Não,3
23,78000,Alugada,7.0,Consolidação de dívidas,C,25000,,1,0.32,Sim,2
23,78000,Alugada,1.0,Empreendedorismo,B,25000,10.62,1,0.32,Não,3
23,78504,Alugada,7.0,Empreendedorismo,B,25000,10.74,1,0.32,Não,3
25,186000,Própria,9.0,Empreendedorismo,B,10000,10.25,0,0.05,Não,4
24,185000,Financiada,,Educação,B,35000,12.42,0,0.19,Não,2
25,185000,Alugada,6.0,Empreendedorismo,C,15000,15.27,0,0.08,Não,2
24,62050,Alugada,8.0,Saúde,D,25000,15.33,1,0.34,Sim,2
23,79416,Alugada,7.0,Empreendedorismo,D,25000,15.21,1,0.31,Sim,2
21,14400,Própria,4.0,Empreendedorismo,C,6250,14.72,1,0.43,Não,2
24,79631,Alugada,8.0,Pessoal,D,25000,15.7,1,0.31,Sim,2
24,79632,Alugada,0.0,Educação,C,25000,13.35,1,0.31,Não,4
21,14400,Financiada,0.0,Saúde,C,1500,,0,0.1,Não,4
24,80000,Alugada,6.0,Educação,A,25000,6.62,1,0.31,Não,2
26,80000,Alugada,5.0,Consolidação de dívidas,C,25000,13.61,1,0.31,Não,4
22,185000,Alugada,4.0,Saúde,B,25000,11.36,0,0.14,Não,2
26,185000,Própria,10.0,Pessoal,A,5000,7.68,0,0.03,Não,2
24,184992,Alugada,7.0,Reforma residencial,D,22000,14.46,0,0.12,Sim,4
23,184000,Própria,5.0,Educação,B,2500,11.83,0,0.01,Não,2
24,172000,Financiada,6.0,Consolidação de dívidas,C,20000,13.47,1,0.12,Sim,4
24,183000,Financiada,2.0,Saúde,B,20000,11.49,0,0.11,Não,3
22,183000,Financiada,3.0,Educação,A,1000,,0,0.01,Não,2
25,182952,Financiada,9.0,Pessoal,A,15000,6.03,0,0.08,Não,3
23,74004,Alugada,7.0,Consolidação de dívidas,E,25000,16.35,1,0.34,Não,4
26,74004,Alugada,10.0,Consolidação de dívidas,D,25000,,1,0.34,Sim,4
25,81000,Alugada,5.0,Consolidação de dívidas,A,25000,7.29,1,0.31,Não,3
23,81600,Alugada,1.0,Saúde,B,25000,11.36,1,0.31,Não,3
24,82000,Alugada,8.0,Empreendedorismo,B,25000,10.25,0,0.3,Não,2
24,83000,Alugada,5.0,Educação,B,25000,11.12,0,0.3,Não,3
24,83000,Alugada,5.0,Pessoal,D,25000,12.92,0,0.3,Sim,3
24,180000,Alugada,8.0,Educação,E,18000,18.64,0,0.1,Sim,4
23,180000,Financiada,8.0,Pessoal,A,28000,7.51,0,0.16,Não,3
23,14400,Própria,2.0,Reforma residencial,E,4000,16.7,1,0.28,Não,2
22,14400,Própria,0.0,Pessoal,B,2100,11.14,0,0.15,Não,4
22,84500,Alugada,6.0,Pessoal,F,25000,18.3,0,0.3,Não,4
24,85000,Alugada,5.0,Saúde,B,25000,10.62,0,0.29,Não,4
24,180000,Financiada,7.0,Empreendedorismo,B,14000,11.99,0,0.08,Não,2
26,180000,Financiada,2.0,Empreendedorismo,B,12000,9.63,0,0.07,Não,4
25,142800,Financiada,9.0,Saúde,F,10000,18.25,1,0.06,Não,4
23,14664,Financiada,0.0,Consolidação de dívidas,C,6000,,1,0.41,Não,4
24,87000,Alugada,8.0,Reforma residencial,D,25000,14.84,0,0.29,Não,3
24,75000,Alugada,0.0,Empreendedorismo,E,25000,14.7,1,0.33,Sim,3
23,76000,Alugada,7.0,Consolidação de dívidas,D,25000,16.02,1,0.33,Não,4
23,66215,Alugada,1.0,Saúde,D,25000,15.37,1,0.32,Sim,2
25,90000,Alugada,9.0,Saúde,B,25000,10.99,0,0.28,Não,4
21,15000,Própria,0.0,Reforma residencial,A,6200,7.9,1,0.41,Não,2
26,180000,Própria,2.0,Pessoal,B,25000,10.99,0,0.14,Não,4
24,180000,Própria,8.0,Educação,B,21000,11.48,0,0.12,Não,3
25,180000,Própria,9.0,Saúde,C,20000,14.26,0,0.11,Sim,4
26,180000,Própria,0.0,Reforma residencial,A,10000,8.0,0,0.06,Não,4
25,180000,Financiada,3.0,Empreendedorismo,B,9950,11.26,0,0.06,Não,2
23,15000,Própria,7.0,Saúde,B,4475,,1,0.3,Não,4
23,78000,Alugada,2.0,Empreendedorismo,D,25000,16.32,1,0.32,Sim,3
25,66300,Alugada,3.0,Saúde,E,25000,17.93,1,0.32,Sim,4
23,90000,Alugada,0.0,Consolidação de dívidas,B,25000,11.36,0,0.28,Não,3
24,79000,Alugada,9.0,Consolidação de dívidas,D,25000,14.96,1,0.32,Sim,4
24,91800,Alugada,4.0,Pessoal,C,25000,13.43,0,0.27,Sim,3
25,92000,Alugada,6.0,Reforma residencial,B,25000,12.69,0,0.27,Não,3
24,92000,Alugada,1.0,Empreendedorismo,C,25000,12.73,0,0.27,Sim,4
23,93600,Alugada,3.0,Empreendedorismo,D,25000,15.21,0,0.27,Não,4
23,15000,Financiada,1.0,Saúde,C,1750,12.68,0,0.12,Sim,3
23,70550,Alugada,3.0,Saúde,F,25000,19.04,1,0.3,Sim,4
25,83800,Alugada,2.0,Consolidação de dívidas,D,25000,15.95,1,0.3,Sim,3
26,175000,Financiada,3.0,Empreendedorismo,A,2600,8.9,0,0.01,Não,4
25,175000,Financiada,10.0,Reforma residencial,A,8000,7.9,0,0.05,Não,2
22,175000,Financiada,6.0,Educação,B,18000,,0,0.1,Não,2
23,175000,Financiada,8.0,Pessoal,B,21000,11.99,0,0.12,Não,3
23,15000,Própria,4.0,Consolidação de dívidas,C,4000,13.98,1,0.27,Não,4
23,15000,Própria,4.0,Empreendedorismo,B,4600,10.99,1,0.31,Não,2
22,88000,Alugada,6.0,Consolidação de dívidas,D,25000,15.58,1,0.28,Sim,2
25,74800,Alugada,2.0,Saúde,B,25000,10.99,1,0.28,Não,2
25,88000,Alugada,0.0,Empreendedorismo,D,25000,14.96,1,0.28,Não,4
25,15000,Própria,2.0,Reforma residencial,D,1750,15.31,0,0.12,Sim,4
26,88000,Alugada,2.0,Empreendedorismo,D,25000,15.65,1,0.28,Não,3
25,100000,Alugada,1.0,Empreendedorismo,B,25000,9.33,0,0.25,Não,4
23,15000,Financiada,0.0,Pessoal,C,3600,13.47,1,0.24,Não,4
24,102400,Alugada,8.0,Pessoal,B,25000,10.36,0,0.24,Não,3
24,92000,Alugada,1.0,Reforma residencial,E,25000,16.77,1,0.27,Sim,4
23,93000,Alugada,0.0,Consolidação de dívidas,D,25000,14.59,1,0.27,Sim,2
22,175000,Alugada,6.0,Empreendedorismo,C,3500,11.91,0,0.02,Sim,2
23,175000,Financiada,3.0,Educação,A,7200,8.38,0,0.04,Não,3
25,174708,Alugada,9.0,Empreendedorismo,B,9000,10.59,0,0.05,Não,3
25,174000,Financiada,2.0,Consolidação de dívidas,C,8800,14.27,0,0.05,Não,3
26,174000,Alugada,8.0,Consolidação de dívidas,B,12000,12.53,0,0.07,Não,4
25,162000,Financiada,5.0,Consolidação de dívidas,E,25000,16.0,1,0.15,Sim,3
26,173467,Financiada,10.0,Empreendedorismo,B,10000,11.71,0,0.06,Não,4
21,15000,Própria,0.0,Reforma residencial,C,3175,11.54,1,0.21,Sim,3
25,96000,Alugada,2.0,Reforma residencial,E,25000,15.68,1,0.26,Sim,4
21,15120,Financiada,0.0,Educação,B,1500,10.59,0,0.1,Não,2
24,97908,Alugada,8.0,Reforma residencial,D,25000,12.61,1,0.26,Sim,2
26,110000,Alugada,3.0,Pessoal,C,25000,,0,0.23,Sim,2
23,15204,Financiada,7.0,Pessoal,A,2800,8.49,1,0.18,Não,3
25,159600,Alugada,0.0,Pessoal,D,30000,17.27,1,0.19,Sim,4
24,171500,Alugada,6.0,Consolidação de dívidas,A,18000,8.9,0,0.1,Não,4
25,170004,Financiada,3.0,Saúde,B,10000,11.11,0,0.06,Não,4
24,158004,Alugada,0.0,Reforma residencial,D,25000,14.59,1,0.16,Sim,2
26,170000,Alugada,0.0,Empreendedorismo,B,13000,12.42,0,0.08,Não,3
24,83300,Alugada,0.0,Saúde,D,25000,,1,0.26,Não,2
24,110000,Alugada,7.0,Reforma residencial,D,25000,15.7,0,0.23,Sim,2
22,15360,Própria,7.0,Reforma residencial,B,2500,12.53,1,0.16,Não,3
25,134300,Alugada,3.0,Saúde,D,5000,16.49,1,0.03,Não,2
25,170000,Financiada,2.0,Educação,A,20000,7.49,0,0.12,Não,2
22,100580,Alugada,6.0,Consolidação de dívidas,D,25000,14.96,1,0.25,Sim,2
25,113000,Alugada,7.0,Saúde,C,25000,12.73,0,0.22,Sim,4
24,120000,Alugada,8.0,Educação,B,25000,10.65,0,0.21,Não,4
25,120000,Alugada,6.0,Saúde,B,25000,10.74,0,0.21,Não,2
23,120000,Alugada,7.0,Educação,B,25000,9.99,0,0.21,Não,2
24,91800,Alugada,5.0,Saúde,D,25000,15.33,1,0.23,Sim,2
21,15600,Própria,5.0,Empreendedorismo,A,1000,7.29,0,0.06,Não,4
26,108000,Alugada,2.0,Pessoal,D,25000,15.05,1,0.23,Não,3
26,129996,Alugada,6.0,Pessoal,B,25000,10.75,0,0.19,Não,3
23,130000,Alugada,4.0,Educação,D,25000,16.02,0,0.19,Sim,2
23,130000,Alugada,7.0,Empreendedorismo,B,25000,11.49,0,0.19,Não,4
25,170000,Própria,4.0,Educação,B,20000,12.53,0,0.12,Não,4
26,170000,Financiada,0.0,Empreendedorismo,C,12000,13.57,0,0.07,Sim,2
22,169000,Alugada,1.0,Pessoal,B,14000,11.14,0,0.08,Não,3
26,168750,Alugada,10.0,Saúde,C,24250,12.87,0,0.14,Sim,3
23,168600,Alugada,3.0,Educação,B,20000,11.58,0,0.12,Não,3
24,168288,Alugada,5.0,Reforma residencial,B,1800,11.12,0,0.01,Não,3
25,168000,Financiada,2.0,Pessoal,B,35000,10.65,0,0.21,Não,2
24,133300,Alugada,6.0,Consolidação de dívidas,B,25000,10.37,0,0.19,Não,2
24,15600,Própria,5.0,Reforma residencial,A,3300,6.39,1,0.21,Não,4
